,model,website,type,fullname,price,status,time_to_market,size,resolution,rear_camera,front_camera,battery_size,battery_type,CPU,memory
0,N360_1,http://detail.zol.com.cn/cell_phone/index220829.shtml,手机,Moto Saygus VPhone V1,0,停产,,3.5英寸,480×800像素,500万像素,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
1,OPPO R11t,http://detail.zol.com.cn/cell_phone/index1181760.shtml,手机,OPPO R11（高配版/全网通）,3799,正常,2017年09月,5.5英寸,1920x1080像素,1600万像素+2000万像素,2000万像素,3000mAh,不可拆卸式电池,八核,6GB
2,Letv X500,http://detail.zol.com.cn/cell_phone/index1100714.shtml,手机,乐视乐1S（X500/双4G）,799,停产,2015年10月,5.5英寸,1920x1080像素,1300万像素,500万像素,3000mAh,不可拆卸式电池,真八核,3GB
3,SM-J415F,http://detail.zol.com.cn/cell_phone/index1221283.shtml,手机,三星SM-J260F（全网通）,0,概念产品,,5英寸,暂无数据,800万像素,500万像素,2600mAh,暂无数据,1GB,暂无数据
4,Letv X501,http://detail.zol.com.cn/cell_phone/index1138147.shtml,手机,乐视乐1S（X501/太子妃版/双4G）,700,停产,2015年10月,5.5英寸,1920x1080像素,1300万像素,500万像素,3000mAh,不可拆卸式电池,真八核,3GB
5,R831S,http://detail.zol.com.cn/cell_phone/index380679.shtml,手机,OPPO R831S（移动4G）,999,停产,,4.5英寸,854x480像素,500万像素,200万像素,1900mAh,可拆卸式电池,四核,1GB
6,G115-2,http://detail.zol.com.cn/cell_phone/index250775.shtml,手机,Moto EX115,1170,正常,,暂无数据,暂无数据,310万像素,暂无数据,930mAh,暂无数据,暂无数据,暂无数据
7,vivo V3L,http://detail.zol.com.cn/cell_phone/index1141792.shtml,手机,vivo V3（移动4G）,1000,停产,,5英寸,1280x720像素,1300万像素,800万像素,2600mAh,不可拆卸式电池,八核,3GB
8,Letv X502,http://detail.zol.com.cn/cell_phone/index1154834.shtml,手机,乐视乐1S（X502/双4G）,700,停产,2016年08月,5.5英寸,1920x1080像素,1300万像素,500万像素,3000mAh,不可拆卸式电池,真八核,3GB
9,VKY-L09,http://detail.zol.com.cn/cell_phone/index1163813.shtml,手机,华为P10 Plus（VKY-AL00/6GB RAM全网通）,1878,正常,2017年03月,5.5英寸,2560x1440像素,2000万像素+1200万像素,800万像素,3750mAh,不可拆卸式电池,八核,6GB
10,T1-823L,http://detail.zol.com.cn/cell_phone/index368535.shtml,手机,苹果iPhone 6S（全网通）,4690,正常,2015年09月,4.7英寸,1334x750像素,1200万像素,500万像素,1715mAh,不可拆卸式电池,双核,2GB
11,S10,http://detail.zol.com.cn/cell_phone/index1174958.shtml,手机,金立S10（移动4G）,1399,正常,2017年06月09日,5.5英寸,1920x1080像素,1600万像素+800万像素,2000万像素+800万像素,3450mAh,不可拆卸式电池,八核,6GB
12,T10(E3C6),http://detail.zol.com.cn/tablepc/index1180807.shtml,平板电脑,台电T10,999,正常,,10.1英寸,2560x1600,1.7GHz,六核心,4GB,64GB,聚合物锂电池，8100毫安,具体时间视使用环境而定
13,vivo Y18L,http://detail.zol.com.cn/cell_phone/index381376.shtml,手机,vivo Y18L（移动4G）,1400,停产,,4.7英寸,1280x720像素,800万像素,500万像素,2260mAh,不可拆卸式电池,四核,1GB
14,HTC 2Q55300,http://detail.zol.com.cn/cell_phone/index1209649.shtml,手机,HTC U12+（全网通）,3799,正常,,6英寸,2880x1440像素,1200万像素广角镜头+1600万像素长焦....>>,双800万像素,3500mAh,不可拆卸式电池,八核,6GB
15,NX575J,http://detail.zol.com.cn/cell_phone/index344937.shtml,手机,努比亚Z7（NX506J/双4G）,2999,停产,2014年07月,5.5英寸,2560x1440像素,1300万像素,500万像素,3000mAh,不可拆卸式电池,四核,3GB
16,AOSP on angler,http://detail.zol.com.cn/cell_phone/index273715.shtml,手机,苹果iPhone 6（全网通）,0,非售,,,,,,,,,
17,VOTO GT11 Pro,,,,0,非售,,,,,,,,,
18,Che2-UL00,http://detail.zol.com.cn/cell_phone/index1099803.shtml,手机,华为G7 Plus（RIO-UL00/双4G）,910,正常,,5.5英寸,1920x1080像素,1300万像素,500万像素,3000mAh,不可拆卸式电池,八核,2GB
19,K10,http://detail.zol.com.cn/cell_phone/index137615.shtml,手机,步步高K10,1026,正常,,2.4英寸,240×320像素,暂无数据,暂无数据,1300mAh,暂无数据,暂无数据,暂无数据
20,LYA-L09,http://detail.zol.com.cn/cell_phone/index379635.shtml,手机,华为Ascend P7（P7-L09/电信4G）,1028,停产,2014年05月,5英寸,1920x1080像素,1300万像素,800万像素,2500mAh,不可拆卸式电池,四核,2GB
21,LA2-S,http://detail.zol.com.cn/cell_phone/index398930.shtml,手机,小辣椒红辣椒（任性版/双4G）,279,停产,,5英寸,1280x720像素,800万像素,200万像素,2000mAh,可拆卸式电池,四核,1GB
22,koobee S9Q,http://detail.zol.com.cn/cell_phone/index1160485.shtml,手机,酷比S9Q（移动4G）,969,停产,,5英寸,1280x720像素,800万像素,500万像素,2100mAh,暂无数据,四核,2GB
23,i6,http://detail.zol.com.cn/cell_phone/index188387.shtml,手机,步步高i6,1450,正常,,2.8英寸,400x240像素,200万像素,暂无数据,800mAh,暂无数据,暂无数据,暂无数据
24,vivo y31a,http://detail.zol.com.cn/cell_phone/index1138887.shtml,手机,vivo Y31A（全网通）,549,停产,,4.7英寸,960x540像素,800万像素,200万像素,2100mAh,可拆卸式电池,四核,1GB
25,meizu,http://detail.zol.com.cn/cell_phone/index1204461.shtml,手机,魅族15 Plus（全网通）,1599,正常,,5.95英寸,2560x1440像素,长焦镜头2000万像素+广角镜头1200万....>>,2000万像素,3500mAh,不可拆卸式电池,6GB,暂无数据
26,ASUS_X002,http://detail.zol.com.cn/cell_phone/index1213909.shtml,手机,ROG 游戏手机（全网通）,5499,正常,,6英寸,2160x1080像素,1200万像素+800万像素,800万像素,4000mAh,不可拆卸式电池,八核,8GB
27,Coolpad 8675,http://detail.zol.com.cn/cell_phone/index384896.shtml,手机,大神F2（8675-HD/移动4G）,512,正常,2014年12月,5.5英寸,1280x720像素,1300万像素,500万像素,2500mAh,可拆卸式电池,八核,2GB
28,Lenovo A368t,http://detail.zol.com.cn/cell_phone/index390851.shtml,手机,联想A368T（移动4G）,249,停产,,5英寸,854x480像素,500万像素,30万像素,2000mAh,可拆卸式电池,四核,512MB
29,SM-C7010,http://detail.zol.com.cn/cell_phone/index1160785.shtml,手机,三星GALAXY C7 Pro（C7010/全网通）,1599,正常,,5.7英寸,1920x1080像素,1600万像素,1600万像素,3300mAh,不可拆卸式电池,八核,4GB
30,CMR-W09,http://detail.zol.com.cn/cell_phone/index1167243.shtml,手机,荣耀9（4GB RAM/全网通）,1399,正常,2017年06月16日,5.15英寸,1920x1080像素,1200万像素+2000万像素,800万像素,3200mAh,不可拆卸式电池,八核,4GB
31,HM NOTE 1TD,http://detail.zol.com.cn/cell_phone/index374237.shtml,手机,小米红米Note（增强版/移动3G/2GB RAM）,899,正常,2014年05月,5.5英寸,1280x720像素,1300万像素,500万像素,3100mAh,可拆卸式电池,真八核,2GB
32,BLA-L29,http://detail.zol.com.cn/cell_phone/index1181128.shtml,手机,华为Mate 10 Pro（全网通）,3395,正常,2017年11月15日,6英寸,2160x1080像素,1200万像素+2000万像素,800万像素,4000mAh,暂无数据,八核,6GB
33,HLTE501N,http://detail.zol.com.cn/cell_phone/index272464.shtml,手机,中兴501,0,停产,,3.2英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
34,ASUS_X008,http://detail.zol.com.cn/cell_phone/index1146812.shtml,手机,华硕ZenFone 飞马3（标准版/全网通）,1125,正常,,5.2英寸,1280x720像素,1300万像素,500万像素,4100mAh,不可拆卸式电池,四核,2GB
35,Lenovo L78011,http://detail.zol.com.cn/cell_phone/index1213725.shtml,手机,联想Z5（全网通）,998,正常,2018年06月12日,6.2英寸,2246x1080像素,1600万像素+800万像素,800万像素,3300mAh,不可拆卸式电池,八核,6GB
36,OWWO A8,http://detail.zol.com.cn/cell_phone/index1267070.shtml,手机,三星GALAXY A80（8GB RAM/全网通）,0,概念产品,,6.7英寸,2400x1080像素,4800万像素+800万像素+800万像素,暂无数据,3700mAh,不可拆卸式电池,八核,8GB
